Date,Views
20200124,20
20200125,7
20200126,12
20200127,9
20200128,10
20200129,9
20200130,7
20200131,2
20200201,5
20200202,8
20200203,5
20200204,8
20200205,12
20200206,10
20200207,11
20200208,10
20200209,13
20200210,6
20200211,9
20200212,16
20200213,6
20200214,4
20200215,10
20200216,4
20200217,11
20200218,6
20200219,11
20200220,5
20200221,14
20200222,7
20200223,11
20200224,6
20200225,7
20200226,6
20200227,11
20200228,13
20200229,7
20200301,7
20200302,9
20200303,6
20200304,25
20200305,14
20200306,13
20200307,11
20200308,11
20200309,7
20200310,10
20200311,16
20200312,7
20200313,4
20200314,8
20200315,6
20200316,14
20200317,5
20200318,6
20200319,4
20200320,4
20200321,3
20200322,13
20200323,5
20200324,13
