Date,Views
20200124,35
20200125,23
20200126,25
20200127,40
20200128,31
20200129,37
20200130,28
20200131,37
20200201,33
20200202,19
20200203,42
20200204,43
20200205,71
20200206,53
20200207,36
20200208,32
20200209,28
20200210,38
20200211,75
20200212,108
20200213,53
20200214,286
20200215,47
20200216,21
20200217,23
20200218,58
20200219,63
20200220,59
20200221,45
20200222,20
20200223,29
20200224,77
20200225,46
20200226,57
20200227,52
20200228,21
20200229,12
20200301,25
20200302,17
20200303,34
20200304,25
20200305,32
20200306,35
20200307,23
20200308,26
20200309,139
20200310,25
20200311,18
20200312,34
20200313,18
20200314,14
20200315,13
20200316,14
20200317,18
20200318,24
20200319,12
20200320,28
20200321,18
20200322,32
20200323,12
20200324,23
