Date,Views
20200124,44
20200125,37
20200126,51
20200127,44
20200128,41
20200129,38
20200130,54
20200131,42
20200201,64
20200202,25
20200203,35
20200204,57
20200205,49
20200206,55
20200207,35
20200208,73
20200209,98
20200210,82
20200211,76
20200212,77
20200213,56
20200214,71
20200215,69
20200216,48
20200217,50
20200218,61
20200219,45
20200220,55
20200221,44
20200222,49
20200223,33
20200224,44
20200225,46
20200226,65
20200227,63
20200228,40
20200229,30
20200301,34
20200302,33
20200303,41
20200304,53
20200305,34
20200306,51
20200307,40
20200308,24
20200309,46
20200310,29
20200311,34
20200312,49
20200313,27
20200314,20
20200315,27
20200316,22
20200317,26
20200318,52
20200319,33
20200320,27
20200321,38
20200322,23
20200323,24
20200324,38
