Date,Views
20200124,179
20200125,135
20200126,125
20200127,83
20200128,90
20200129,88
20200130,84
20200131,88
20200201,90
20200202,74
20200203,79
20200204,74
20200205,88
20200206,88
20200207,92
20200208,88
20200209,74
20200210,78
20200211,103
20200212,97
20200213,80
20200214,118
20200215,75
20200216,105
20200217,84
20200218,71
20200219,117
20200220,100
20200221,106
20200222,97
20200223,100
20200224,76
20200225,94
20200226,80
20200227,102
20200228,139
20200229,86
20200301,163
20200302,144
20200303,149
20200304,185
20200305,205
20200306,116
20200307,106
20200308,146
20200309,139
20200310,92
20200311,100
20200312,64
20200313,83
20200314,76
20200315,94
20200316,89
20200317,64
20200318,81
20200319,76
20200320,95
20200321,75
20200322,97
20200323,72
20200324,66
