Date,Views
20200124,128
20200125,99
20200126,87
20200127,109
20200128,108
20200129,387
20200130,139
20200131,129
20200201,168
20200202,97
20200203,97
20200204,184
20200205,275
20200206,181
20200207,324
20200208,653
20200209,208
20200210,254
20200211,502
20200212,386
20200213,151
20200214,93
20200215,65
20200216,78
20200217,78
20200218,86
20200219,86
20200220,100
20200221,71
20200222,72
20200223,78
20200224,65
20200225,75
20200226,71
20200227,82
20200228,59
20200229,59
20200301,86
20200302,86
20200303,83
20200304,85
20200305,74
20200306,73
20200307,58
20200308,97
20200309,85
20200310,80
20200311,121
20200312,127
20200313,66
20200314,54
20200315,50
20200316,183
20200317,74
20200318,87
20200319,46
20200320,86
20200321,152
20200322,262
20200323,156
20200324,217
