Date,Views
20200124,109
20200125,83
20200126,84
20200127,85
20200128,98
20200129,74
20200130,72
20200131,91
20200201,57
20200202,89
20200203,67
20200204,69
20200205,98
20200206,71
20200207,87
20200208,84
20200209,79
20200210,66
20200211,85
20200212,80
20200213,81
20200214,101
20200215,58
20200216,59
20200217,69
20200218,60
20200219,83
20200220,72
20200221,82
20200222,61
20200223,67
20200224,93
20200225,73
20200226,91
20200227,78
20200228,82
20200229,62
20200301,74
20200302,62
20200303,88
20200304,89
20200305,77
20200306,66
20200307,62
20200308,60
20200309,75
20200310,72
20200311,78
20200312,60
20200313,73
20200314,64
20200315,62
20200316,55
20200317,68
20200318,79
20200319,69
20200320,79
20200321,118
20200322,69
20200323,71
20200324,89
