Date,Views
20200124,1303
20200125,1147
20200126,1243
20200127,1362
20200128,1211
20200129,1313
20200130,1379
20200131,1263
20200201,1270
20200202,1636
20200203,2197
20200204,2312
20200205,2256
20200206,1992
20200207,1995
20200208,2078
20200209,2299
20200210,2338
20200211,2373
20200212,3288
20200213,2477
20200214,2644
20200215,2083
20200216,2205
20200217,2164
20200218,2232
20200219,2465
20200220,4615
20200221,3338
20200222,3034
20200223,4910
20200224,5756
20200225,5276
20200226,4504
20200227,3634
20200228,3496
20200229,2851
20200301,3327
20200302,3517
20200303,3928
20200304,4219
20200305,3326
20200306,2491
20200307,1998
20200308,1990
20200309,2201
20200310,2381
20200311,2207
20200312,1648
20200313,1447
20200314,1418
20200315,1657
20200316,1716
20200317,1423
20200318,1730
20200319,1542
20200320,1571
20200321,1378
20200322,1217
20200323,1251
20200324,1345
