Date,Views
20200503,31
20200504,31
20200505,38
20200506,38
20200507,28
20200508,29
20200509,21
20200510,21
20200511,33
20200512,205
20200513,112
20200514,70
20200515,46
20200516,25
20200517,28
20200518,38
20200519,46
20200520,40
20200521,42
20200522,46
20200523,35
20200524,32
20200525,36
20200526,36
20200527,47
20200528,39
20200529,48
20200530,690
20200531,343
20200601,201
20200602,349
20200603,208
20200604,156
20200605,140
20200606,114
20200607,115
20200608,98
20200609,188
20200610,965
20200611,263
20200612,164
20200613,140
20200614,105
20200615,91
20200616,89
20200617,71
20200618,51
20200619,92
20200620,229
20200621,86
20200622,69
20200623,83
20200624,89
20200625,85
20200626,86
20200627,53
20200628,72
20200629,89
20200630,333
20200701,279
20200702,256
