Date,Views
20160524,6
20160525,13
20160526,5
20160527,7
20160528,6
20160529,8
20160530,4
20160531,9
20160601,6
20160602,17
20160603,23
20160604,11
20160605,11
20160606,11
20160607,3
20160608,4
20160609,9
20160610,10
20160611,10
20160612,24
20160613,11
20160614,11
20160615,16
20160616,16
20160617,13
20160618,12
20160619,10
20160620,17
20160621,11
20160622,32
20160623,21
20160624,57
20160625,53
20160626,28
20160627,27
20160628,21
20160629,15
20160630,13
20160701,7
20160702,13
20160703,13
20160704,15
20160705,14
20160706,30
20160707,10
20160708,4
20160709,11
20160710,12
20160711,11
20160712,14
20160713,6
20160714,11
20160715,8
20160716,9
20160717,8
20160718,5
20160719,7
20160720,8
20160721,9
20160722,3
20160723,5
