Date,Views
20160524,122
20160525,100
20160526,110
20160527,92
20160528,90
20160529,84
20160530,104
20160531,152
20160601,98
20160602,105
20160603,103
20160604,84
20160605,71
20160606,102
20160607,87
20160608,83
20160609,68
20160610,68
20160611,94
20160612,72
20160613,75
20160614,102
20160615,86
20160616,85
20160617,64
20160618,76
20160619,76
20160620,79
20160621,106
20160622,92
20160623,99
20160624,86
20160625,78
20160626,104
20160627,73
20160628,87
20160629,122
20160630,115
20160701,88
20160702,86
20160703,206
20160704,130
20160705,98
20160706,110
20160707,88
20160708,68
20160709,70
20160710,88
20160711,92
20160712,85
20160713,102
20160714,80
20160715,79
20160716,129
20160717,120
20160718,103
20160719,144
20160720,98
20160721,153
20160722,140
20160723,94
