Date,Views
20160524,223
20160525,214
20160526,295
20160527,246
20160528,187
20160529,208
20160530,233
20160531,314
20160601,385
20160602,350
20160603,284
20160604,205
20160605,296
20160606,312
20160607,412
20160608,338
20160609,437
20160610,398
20160611,260
20160612,294
20160613,267
20160614,495
20160615,489
20160616,382
20160617,263
20160618,292
20160619,400
20160620,483
20160621,644
20160622,820
20160623,888
20160624,3429
20160625,2580
20160626,2156
20160627,1843
20160628,2133
20160629,3260
20160630,1831
20160701,955
20160702,719
20160703,694
20160704,751
20160705,674
20160706,478
20160707,432
20160708,349
20160709,252
20160710,241
20160711,311
20160712,314
20160713,299
20160714,313
20160715,282
20160716,177
20160717,215
20160718,173
20160719,183
20160720,246
20160721,321
20160722,311
20160723,244
