Date,Views
20180616,1349
20180617,1535
20180618,1513
20180619,1481
20180620,1551
20180621,1340
20180622,1452
20180623,1319
20180624,1392
20180625,1503
20180626,1452
20180627,1472
20180628,1596
20180629,1499
20180630,1393
20180701,1391
20180702,1592
20180703,1630
20180704,1939
20180705,2180
20180706,1672
20180707,1489
20180708,1508
20180709,1560
20180710,1561
20180711,1480
20180712,1497
20180713,1368
20180714,1479
20180715,1814
20180716,2008
20180717,1552
20180718,1554
20180719,1491
20180720,1444
20180721,1360
20180722,1686
20180723,1690
20180724,2881
20180725,1562
20180726,1653
20180727,1550
20180728,1624
20180729,1662
20180730,1591
20180731,1478
20180801,1600
20180802,1471
20180803,1384
20180804,1433
20180805,1483
20180806,1579
20180807,1714
20180808,1484
20180809,1551
20180810,1734
20180811,1499
20180812,1445
20180813,1654
20180814,1404
20180815,1521
