Date,Views
20161222,32
20161223,31
20161224,38
20161225,44
20161226,42
20161227,43
20161228,40
20161229,57
20161230,43
20161231,39
20170101,29
20170102,25
20170103,25
20170104,43
20170105,44
20170106,35
20170107,31
20170108,34
20170109,31
20170110,41
20170111,30
20170112,37
20170113,26
20170114,27
20170115,25
20170116,33
20170117,27
20170118,47
20170119,43
20170120,29
20170121,38
20170122,32
20170123,27
20170124,48
20170125,45
20170126,36
20170127,32
20170128,35
20170129,35
20170130,42
20170131,33
20170201,40
20170202,36
20170203,37
20170204,28
20170205,36
20170206,23
20170207,29
20170208,44
20170209,30
20170210,31
20170211,36
20170212,34
20170213,25
20170214,43
20170215,44
20170216,44
20170217,40
20170218,35
20170219,30
20170220,34
