Date,Views
20161222,16250
20161223,15637
20161224,16772
20161225,18025
20161226,20058
20161227,21028
20161228,20284
20161229,20555
20161230,19651
20161231,18241
20170101,21207
20170102,23050
20170103,20483
20170104,18800
20170105,18229
20170106,18678
20170107,22484
20170108,22947
20170109,20778
20170110,17770
20170111,17401
20170112,17261
20170113,17808
20170114,19861
20170115,21434
20170116,19228
20170117,18075
20170118,17191
20170119,16976
20170120,15965
20170121,17533
20170122,18484
20170123,17430
20170124,16543
20170125,16346
20170126,16171
20170127,17434
20170128,20722
20170129,21968
20170130,18834
20170131,16681
20170201,15498
20170202,15113
20170203,16488
20170204,19617
20170205,21327
20170206,16265
20170207,15369
20170208,15236
20170209,16114
20170210,16530
20170211,18546
20170212,19748
20170213,16155
20170214,14299
20170215,14859
20170216,15561
20170217,15880
20170218,18332
20170219,19420
20170220,17280
