Date,Views
20161222,233
20161223,139
20161224,68
20161225,55
20161226,107
20161227,80
20161228,103
20161229,129
20161230,83
20161231,102
20170101,109
20170102,204
20170103,221
20170104,285
20170105,330
20170106,264
20170107,99
20170108,206
20170109,387
20170110,347
20170111,388
20170112,408
20170113,373
20170114,146
20170115,179
20170116,232
20170117,469
20170118,611
20170119,610
20170120,740
20170121,327
20170122,291
20170123,564
20170124,560
20170125,506
20170126,491
20170127,446
20170128,191
20170129,258
20170130,380
20170131,423
20170201,631
20170202,528
20170203,403
20170204,189
20170205,242
20170206,410
20170207,420
20170208,563
20170209,413
20170210,400
20170211,177
20170212,235
20170213,484
20170214,434
20170215,455
20170216,435
20170217,420
20170218,307
20170219,265
20170220,478
