Date,Views
20161222,463
20161223,424
20161224,359
20161225,358
20161226,488
20161227,485
20161228,509
20161229,559
20161230,709
20161231,430
20170101,445
20170102,507
20170103,621
20170104,757
20170105,1028
20170106,1937
20170107,1547
20170108,866
20170109,826
20170110,740
20170111,819
20170112,1420
20170113,1151
20170114,756
20170115,745
20170116,726
20170117,4679
20170118,7302
20170119,3585
20170120,1214
20170121,799
20170122,1304
20170123,1339
20170124,1364
20170125,1415
20170126,1054
20170127,777
20170128,748
20170129,1093
20170130,1064
20170131,947
20170201,883
20170202,850
20170203,657
20170204,634
20170205,846
20170206,805
20170207,861
20170208,1272
20170209,2011
20170210,862
20170211,690
20170212,846
20170213,1027
20170214,716
20170215,1342
20170216,835
20170217,767
20170218,590
20170219,594
20170220,623
