Date,Views
20170915,39
20170916,45
20170917,28
20170918,48
20170919,112
20170920,53
20170921,67
20170922,54
20170923,823
20170924,83
20170925,51
20170926,53
20170927,42
20170928,104
20170929,51
20170930,39
20171001,45
20171002,36
20171003,43
20171004,41
20171005,60
20171006,53
20171007,53
20171008,65
20171009,93
20171010,75
20171011,82
20171012,83
20171013,65
20171014,64
20171015,54
20171016,65
20171017,58
20171018,51
20171019,52
20171020,50
20171021,45
20171022,45
20171023,53
20171024,53
20171025,64
20171026,50
20171027,48
20171028,49
20171029,50
20171030,53
20171031,46
20171101,46
20171102,44
20171103,55
20171104,94
20171105,68
20171106,48
20171107,120
20171108,57
20171109,61
20171110,39
20171111,46
20171112,45
20171113,57
20171114,81
