Date,Views
20201009,49
20201010,49
20201011,51
20201012,47
20201013,48
20201014,56
20201015,61
20201016,52
20201017,50
20201018,37
20201019,49
20201020,51
20201021,62
20201022,64
20201023,65
20201024,42
20201025,64
20201026,79
20201027,57
20201028,55
20201029,69
20201030,69
20201031,75
20201101,59
20201102,74
20201103,82
20201104,117
20201105,101
20201106,112
20201107,139
20201108,127
20201109,97
20201110,77
20201111,76
20201112,67
20201113,92
20201114,79
20201115,82
20201116,62
20201117,63
20201118,114
20201119,90
20201120,79
20201121,69
20201122,56
20201123,87
20201124,61
20201125,74
20201126,55
20201127,63
20201128,63
20201129,67
20201130,54
20201201,44
20201202,64
20201203,53
20201204,56
20201205,75
20201206,41
20201207,53
20201208,54
