Date,Views
20201009,70
20201010,90
20201011,92
20201012,90
20201013,89
20201014,74
20201015,67
20201016,78
20201017,63
20201018,71
20201019,98
20201020,91
20201021,105
20201022,89
20201023,78
20201024,83
20201025,117
20201026,106
20201027,157
20201028,98
20201029,99
20201030,87
20201031,91
20201101,118
20201102,137
20201103,121
20201104,91
20201105,90
20201106,129
20201107,99
20201108,102
20201109,108
20201110,134
20201111,135
20201112,116
20201113,512
20201114,944
20201115,907
20201116,751
20201117,451
20201118,362
20201119,325
20201120,269
20201121,188
20201122,192
20201123,218
20201124,178
20201125,137
20201126,149
20201127,142
20201128,133
20201129,190
20201130,137
20201201,129
20201202,109
20201203,112
20201204,119
20201205,153
20201206,150
20201207,101
20201208,130
