Date,Views
20201009,320
20201010,256
20201011,256
20201012,222
20201013,234
20201014,267
20201015,229
20201016,255
20201017,247
20201018,204
20201019,221
20201020,238
20201021,197
20201022,235
20201023,232
20201024,253
20201025,290
20201026,342
20201027,279
20201028,322
20201029,313
20201030,307
20201031,364
20201101,297
20201102,441
20201103,538
20201104,657
20201105,588
20201106,649
20201107,1026
20201108,2170
20201109,2115
20201110,3005
20201111,1475
20201112,1010
20201113,712
20201114,541
20201115,627
20201116,493
20201117,402
20201118,405
20201119,364
20201120,358
20201121,289
20201122,338
20201123,341
20201124,357
20201125,332
20201126,310
20201127,243
20201128,310
20201129,260
20201130,290
20201201,259
20201202,249
20201203,274
20201204,252
20201205,261
20201206,244
20201207,229
20201208,231
