Date,Views
20200713,171
20200714,171
20200715,259
20200716,287
20200717,246
20200718,196
20200719,229
20200720,324
20200721,262
20200722,234
20200723,217
20200724,234
20200725,205
20200726,237
20200727,189
20200728,263
20200729,221
20200730,232
20200731,208
20200801,254
20200802,233
20200803,264
20200804,364
20200805,299
20200806,201
20200807,241
20200808,217
20200809,212
20200810,240
20200811,335
20200812,486
20200813,365
20200814,279
20200815,291
20200816,299
20200817,329
20200818,384
20200819,397
20200820,364
20200821,408
20200822,289
20200823,336
20200824,333
20200825,402
20200826,401
20200827,426
20200828,416
20200829,332
20200830,317
20200831,317
20200901,317
20200902,316
20200903,332
20200904,326
20200905,282
20200906,262
20200907,281
20200908,313
20200909,328
20200910,308
20200911,296
