Date,Views
20200713,25
20200714,31
20200715,35
20200716,27
20200717,29
20200718,29
20200719,21
20200720,35
20200721,27
20200722,37
20200723,36
20200724,23
20200725,21
20200726,38
20200727,36
20200728,39
20200729,48
20200730,28
20200731,24
20200801,31
20200802,17
20200803,29
20200804,32
20200805,44
20200806,38
20200807,40
20200808,33
20200809,25
20200810,45
20200811,81
20200812,226
20200813,103
20200814,70
20200815,51
20200816,49
20200817,44
20200818,58
20200819,39
20200820,57
20200821,33
20200822,36
20200823,32
20200824,35
20200825,51
20200826,33
20200827,37
20200828,43
20200829,23
20200830,24
20200831,29
20200901,27
20200902,36
20200903,22
20200904,33
20200905,29
20200906,22
20200907,25
20200908,31
20200909,61
20200910,34
20200911,33
