Date,Views
20200713,230
20200714,195
20200715,174
20200716,229
20200717,183
20200718,146
20200719,155
20200720,229
20200721,169
20200722,166
20200723,190
20200724,136
20200725,137
20200726,163
20200727,152
20200728,173
20200729,164
20200730,178
20200731,137
20200801,127
20200802,151
20200803,164
20200804,168
20200805,181
20200806,201
20200807,171
20200808,144
20200809,122
20200810,172
20200811,193
20200812,241
20200813,229
20200814,202
20200815,151
20200816,290
20200817,198
20200818,177
20200819,216
20200820,186
20200821,210
20200822,163
20200823,142
20200824,176
20200825,227
20200826,248
20200827,186
20200828,269
20200829,169
20200830,172
20200831,179
20200901,186
20200902,213
20200903,197
20200904,193
20200905,136
20200906,154
20200907,168
20200908,184
20200909,186
20200910,222
20200911,236
