Date,Views
20200713,125
20200714,104
20200715,114
20200716,124
20200717,131
20200718,150
20200719,147
20200720,165
20200721,343
20200722,120
20200723,154
20200724,135
20200725,121
20200726,147
20200727,130
20200728,228
20200729,142
20200730,415
20200731,171
20200801,152
20200802,153
20200803,133
20200804,152
20200805,130
20200806,140
20200807,118
20200808,99
20200809,109
20200810,126
20200811,161
20200812,179
20200813,143
20200814,426
20200815,833
20200816,274
20200817,150
20200818,155
20200819,158
20200820,133
20200821,142
20200822,130
20200823,143
20200824,135
20200825,117
20200826,103
20200827,118
20200828,127
20200829,101
20200830,135
20200831,120
20200901,95
20200902,105
20200903,126
20200904,99
20200905,265
20200906,121
20200907,127
20200908,132
20200909,142
20200910,127
20200911,110
