Date,Views
20200713,114
20200714,93
20200715,178
20200716,85
20200717,97
20200718,89
20200719,113
20200720,210
20200721,83
20200722,101
20200723,84
20200724,68
20200725,60
20200726,79
20200727,95
20200728,116
20200729,90
20200730,97
20200731,78
20200801,72
20200802,81
20200803,59
20200804,70
20200805,143
20200806,121
20200807,79
20200808,69
20200809,81
20200810,78
20200811,120
20200812,214
20200813,86
20200814,71
20200815,84
20200816,70
20200817,81
20200818,132
20200819,110
20200820,121
20200821,113
20200822,103
20200823,143
20200824,103
20200825,101
20200826,56
20200827,71
20200828,85
20200829,74
20200830,83
20200831,126
20200901,119
20200902,80
20200903,93
20200904,95
20200905,82
20200906,131
20200907,96
20200908,89
20200909,94
20200910,66
20200911,112
