Date,Views
20200713,8399
20200714,7026
20200715,7619
20200716,7594
20200717,8736
20200718,8265
20200719,8542
20200720,8558
20200721,6490
20200722,7542
20200723,9808
20200724,9800
20200725,8611
20200726,7570
20200727,7423
20200728,6559
20200729,6075
20200730,6673
20200731,6404
20200801,6033
20200802,6489
20200803,6158
20200804,6102
20200805,5660
20200806,5591
20200807,5467
20200808,5332
20200809,5741
20200810,6660
20200811,7468
20200812,7401
20200813,6271
20200814,6036
20200815,5957
20200816,6298
20200817,5998
20200818,6792
20200819,7051
20200820,6868
20200821,6627
20200822,7057
20200823,6429
20200824,6063
20200825,8619
20200826,7828
20200827,7515
20200828,8190
20200829,5970
20200830,6045
20200831,5968
20200901,6282
20200902,6319
20200903,5907
20200904,5577
20200905,5514
20200906,6422
20200907,6047
20200908,6001
20200909,6294
20200910,7708
20200911,6319
