Date,Views
20191017,140
20191018,132
20191019,110
20191020,119
20191021,133
20191022,125
20191023,125
20191024,239
20191025,182
20191026,166
20191027,166
20191028,119
20191029,148
20191030,133
20191031,116
20191101,139
20191102,198
20191103,129
20191104,127
20191105,115
20191106,145
20191107,123
20191108,150
20191109,121
20191110,167
20191111,140
20191112,175
20191113,133
20191114,152
20191115,108
20191116,135
20191117,120
20191118,122
20191119,158
20191120,122
20191121,85
20191122,105
20191123,123
20191124,126
20191125,123
20191126,175
20191127,109
20191128,127
20191129,162
20191130,125
20191201,117
20191202,139
20191203,143
20191204,267
20191205,141
20191206,111
20191207,121
20191208,117
20191209,136
20191210,147
20191211,148
20191212,140
20191213,115
20191214,129
20191215,152
20191216,127
