Date,Views
20191017,576
20191018,473
20191019,481
20191020,656
20191021,813
20191022,673
20191023,510
20191024,510
20191025,451
20191026,449
20191027,580
20191028,478
20191029,468
20191030,449
20191031,418
20191101,387
20191102,495
20191103,610
20191104,566
20191105,553
20191106,591
20191107,508
20191108,423
20191109,579
20191110,676
20191111,573
20191112,513
20191113,508
20191114,524
20191115,818
20191116,2360
20191117,5244
20191118,5412
20191119,4087
20191120,4679
20191121,5561
20191122,4234
20191123,3683
20191124,3757
20191125,3097
20191126,2348
20191127,1856
20191128,1522
20191129,1453
20191130,1539
20191201,1991
20191202,2100
20191203,2358
20191204,1665
20191205,1286
20191206,1111
20191207,1167
20191208,1414
20191209,1332
20191210,1057
20191211,1017
20191212,915
20191213,884
20191214,892
20191215,992
20191216,875
