Date,Views
20191017,80
20191018,90
20191019,95
20191020,130
20191021,102
20191022,114
20191023,102
20191024,117
20191025,82
20191026,77
20191027,101
20191028,90
20191029,86
20191030,107
20191031,88
20191101,113
20191102,131
20191103,125
20191104,113
20191105,110
20191106,100
20191107,67
20191108,90
20191109,88
20191110,124
20191111,131
20191112,110
20191113,112
20191114,138
20191115,87
20191116,87
20191117,96
20191118,98
20191119,114
20191120,128
20191121,125
20191122,121
20191123,134
20191124,161
20191125,174
20191126,178
20191127,161
20191128,129
20191129,122
20191130,113
20191201,134
20191202,119
20191203,103
20191204,98
20191205,95
20191206,85
20191207,108
20191208,93
20191209,93
20191210,105
20191211,81
20191212,114
20191213,86
20191214,80
20191215,109
20191216,120
