Date,Views
20191017,83
20191018,71
20191019,69
20191020,69
20191021,93
20191022,97
20191023,77
20191024,96
20191025,95
20191026,88
20191027,75
20191028,97
20191029,91
20191030,111
20191031,103
20191101,85
20191102,77
20191103,81
20191104,70
20191105,88
20191106,99
20191107,110
20191108,78
20191109,86
20191110,158
20191111,111
20191112,88
20191113,78
20191114,93
20191115,102
20191116,129
20191117,246
20191118,207
20191119,142
20191120,178
20191121,186
20191122,113
20191123,112
20191124,106
20191125,91
20191126,80
20191127,84
20191128,71
20191129,84
20191130,91
20191201,107
20191202,118
20191203,175
20191204,151
20191205,100
20191206,91
20191207,85
20191208,82
20191209,81
20191210,65
20191211,75
20191212,75
20191213,52
20191214,53
20191215,89
20191216,90
