Date,Views
20191017,6966
20191018,5066
20191019,4998
20191020,5996
20191021,7447
20191022,7498
20191023,6328
20191024,7057
20191025,6010
20191026,6356
20191027,5772
20191028,6219
20191029,5324
20191030,5432
20191031,8087
20191101,7773
20191102,10748
20191103,7330
20191104,7060
20191105,7420
20191106,7752
20191107,7040
20191108,6949
20191109,6421
20191110,6590
20191111,7063
20191112,7340
20191113,9097
20191114,5786
20191115,6327
20191116,5707
20191117,7625
20191118,7655
20191119,8341
20191120,13281
20191121,30309
20191122,13340
20191123,6460
20191124,8850
20191125,16516
20191126,10931
20191127,10663
20191128,11280
20191129,9552
20191130,9025
20191201,9388
20191202,7640
20191203,7231
20191204,9657
20191205,9134
20191206,7356
20191207,7730
20191208,6868
20191209,7401
20191210,7619
20191211,10277
20191212,8612
20191213,7328
20191214,7766
20191215,6753
20191216,9224
