Date,Views
20190807,109
20190808,94
20190809,107
20190810,98
20190811,120
20190812,108
20190813,108
20190814,110
20190815,90
20190816,90
20190817,101
20190818,111
20190819,112
20190820,111
20190821,119
20190822,98
20190823,106
20190824,89
20190825,122
20190826,112
20190827,132
20190828,108
20190829,125
20190830,73
20190831,91
20190901,106
20190902,100
20190903,103
20190904,123
20190905,111
20190906,1782
20190907,710
20190908,383
20190909,336
20190910,238
20190911,265
20190912,263
20190913,299
20190914,257
20190915,192
20190916,216
20190917,154
20190918,158
20190919,156
20190920,162
20190921,129
20190922,139
20190923,106
20190924,125
20190925,140
20190926,128
20190927,108
20190928,152
20190929,119
20190930,107
20191001,119
20191002,113
20191003,115
20191004,106
20191005,105
20191006,131
