Date,Views
20200820,51
20200821,45
20200822,39
20200823,34
20200824,33
20200825,47
20200826,35
20200827,35
20200828,49
20200829,45
20200830,28
20200831,33
20200901,36
20200902,37
20200903,39
20200904,38
20200905,32
20200906,32
20200907,45
20200908,49
20200909,47
20200910,38
20200911,28
20200912,25
20200913,38
20200914,34
20200915,43
20200916,48
20200917,57
20200918,31
20200919,37
20200920,42
20200921,48
20200922,50
20200923,33
20200924,41
20200925,56
20200926,37
20200927,26
20200928,30
20200929,34
20200930,30
20201001,44
20201002,48
20201003,51
20201004,31
20201005,47
20201006,42
20201007,39
20201008,42
20201009,42
20201010,37
20201011,32
20201012,33
20201013,39
20201014,39
20201015,48
20201016,40
20201017,35
20201018,37
20201019,57
