Date,Views
20200820,58
20200821,58
20200822,38
20200823,56
20200824,64
20200825,68
20200826,60
20200827,61
20200828,50
20200829,48
20200830,37
20200831,54
20200901,59
20200902,69
20200903,50
20200904,56
20200905,31
20200906,36
20200907,45
20200908,58
20200909,43
20200910,57
20200911,43
20200912,54
20200913,51
20200914,62
20200915,44
20200916,48
20200917,47
20200918,52
20200919,85
20200920,70
20200921,148
20200922,79
20200923,87
20200924,65
20200925,64
20200926,61
20200927,79
20200928,51
20200929,49
20200930,56
20201001,58
20201002,38
20201003,38
20201004,37
20201005,45
20201006,74
20201007,55
20201008,54
20201009,49
20201010,69
20201011,48
20201012,44
20201013,68
20201014,56
20201015,55
20201016,61
20201017,45
20201018,36
20201019,80
