Date,Views
20200820,42
20200821,50
20200822,59
20200823,48
20200824,59
20200825,78
20200826,75
20200827,71
20200828,69
20200829,49
20200830,66
20200831,54
20200901,36
20200902,47
20200903,49
20200904,38
20200905,64
20200906,36
20200907,62
20200908,48
20200909,56
20200910,59
20200911,51
20200912,54
20200913,66
20200914,54
20200915,55
20200916,41
20200917,170
20200918,63
20200919,47
20200920,46
20200921,68
20200922,73
20200923,75
20200924,57
20200925,82
20200926,59
20200927,43
20200928,47
20200929,50
20200930,50
20201001,35
20201002,37
20201003,38
20201004,51
20201005,53
20201006,55
20201007,45
20201008,49
20201009,37
20201010,40
20201011,37
20201012,64
20201013,49
20201014,46
20201015,54
20201016,61
20201017,49
20201018,65
20201019,49
