Date,Views
20200820,25
20200821,82
20200822,20
20200823,24
20200824,36
20200825,30
20200826,21
20200827,16
20200828,22
20200829,22
20200830,38
20200831,22
20200901,14
20200902,28
20200903,19
20200904,33
20200905,16
20200906,39
20200907,26
20200908,40
20200909,41
20200910,34
20200911,46
20200912,27
20200913,21
20200914,52
20200915,37
20200916,40
20200917,61
20200918,49
20200919,90
20200920,79
20200921,183
20200922,117
20200923,86
20200924,98
20200925,94
20200926,63
20200927,62
20200928,127
20200929,117
20200930,108
20201001,102
20201002,111
20201003,40
20201004,35
20201005,85
20201006,84
20201007,153
20201008,123
20201009,121
20201010,71
20201011,68
20201012,130
20201013,195
20201014,172
20201015,164
20201016,176
20201017,81
20201018,103
20201019,255
