Date,Views
20180216,52
20180217,45
20180218,49
20180219,40
20180220,37
20180221,56
20180222,40
20180223,33
20180224,41
20180225,50
20180226,51
20180227,47
20180228,45
20180301,60
20180302,48
20180303,48
20180304,55
20180305,50
20180306,45
20180307,54
20180308,51
20180309,49
20180310,54
20180311,43
20180312,52
20180313,52
20180314,47
20180315,63
20180316,62
20180317,52
20180318,43
20180319,67
20180320,64
20180321,63
20180322,62
20180323,50
20180324,42
20180325,61
20180326,61
20180327,76
20180328,61
20180329,80
20180330,68
20180331,57
20180401,57
20180402,70
20180403,59
20180404,45
20180405,72
20180406,51
20180407,55
20180408,45
20180409,48
20180410,72
20180411,66
20180412,61
20180413,73
20180414,87
20180415,70
20180416,83
20180417,62
