Date,Views
20180216,1
20180217,5
20180218,3
20180219,6
20180220,5
20180221,3
20180222,5
20180223,2
20180224,2
20180225,1
20180226,37
20180227,6
20180228,5
20180301,6
20180302,8
20180303,4
20180304,4
20180305,7
20180306,7
20180307,5
20180308,7
20180309,6
20180310,5
20180311,3
20180312,4
20180313,5
20180314,1
20180315,10
20180316,4
20180317,3
20180318,6
20180319,1
20180320,7
20180321,6
20180322,4
20180323,5
20180324,6
20180325,9
20180326,5
20180327,7
20180328,4
20180329,10
20180330,8
20180331,6
20180401,1
20180402,8
20180403,5
20180404,4
20180405,5
20180406,3
20180407,3
20180408,4
20180409,5
20180410,2
20180411,5
20180412,7
20180413,9
20180414,13
20180415,9
20180416,8
20180417,7
