Date,Views
20180216,7867
20180217,4475
20180218,5717
20180219,4362
20180220,5015
20180221,3172
20180222,1991
20180223,3222
20180224,3581
20180225,2155
20180226,2507
20180227,2114
20180228,1548
20180301,1545
20180302,1686
20180303,1085
20180304,957
20180305,1018
20180306,938
20180307,764
20180308,781
20180309,757
20180310,660
20180311,688
20180312,694
20180313,955
20180314,923
20180315,1346
20180316,1326
20180317,1144
20180318,895
20180319,800
20180320,577
20180321,648
20180322,949
20180323,910
20180324,649
20180325,652
20180326,638
20180327,651
20180328,755
20180329,646
20180330,662
20180331,473
20180401,448
20180402,547
20180403,559
20180404,620
20180405,473
20180406,562
20180407,461
20180408,471
20180409,651
20180410,581
20180411,881
20180412,1471
20180413,2556
20180414,1502
20180415,2100
20180416,9302
20180417,3827
