Date,Views
20161009,911
20161010,1666
20161011,1713
20161012,1818
20161013,1804
20161014,1547
20161015,830
20161016,1081
20161017,2050
20161018,1959
20161019,1648
20161020,2172
20161021,1725
20161022,887
20161023,1312
20161024,2397
20161025,2426
20161026,2278
20161027,2437
20161028,1903
20161029,888
20161030,1304
20161031,2104
20161101,2132
20161102,2549
20161103,2206
20161104,1867
20161105,945
20161106,1275
20161107,2170
20161108,1959
20161109,2297
20161110,2436
20161111,1601
20161112,1065
20161113,1384
20161114,2234
20161115,2233
20161116,2147
20161117,2304
20161118,1804
20161119,957
20161120,1141
20161121,1745
20161122,1588
20161123,1010
20161124,789
20161125,773
20161126,872
20161127,1042
20161128,1601
20161129,1889
20161130,1771
20161201,1901
20161202,1608
20161203,840
20161204,993
20161205,1816
20161206,1922
20161207,1869
20161208,2375
