Date,Views
20161009,79
20161010,90
20161011,86
20161012,90
20161013,89
20161014,70
20161015,51
20161016,65
20161017,115
20161018,95
20161019,88
20161020,83
20161021,66
20161022,51
20161023,67
20161024,98
20161025,95
20161026,72
20161027,101
20161028,98
20161029,77
20161030,75
20161031,70
20161101,96
20161102,96
20161103,243
20161104,120
20161105,127
20161106,89
20161107,119
20161108,99
20161109,142
20161110,147
20161111,125
20161112,91
20161113,105
20161114,104
20161115,107
20161116,181
20161117,125
20161118,115
20161119,120
20161120,85
20161121,108
20161122,97
20161123,71
20161124,76
20161125,100
20161126,81
20161127,74
20161128,137
20161129,115
20161130,122
20161201,145
20161202,118
20161203,70
20161204,92
20161205,143
20161206,123
20161207,140
20161208,121
