Date,Views
20160112,21
20160113,31
20160114,11
20160115,14
20160116,8
20160117,8
20160118,18
20160119,4
20160120,12
20160121,9
20160122,5
20160123,6
20160124,11
20160125,12
20160126,9
20160127,17
20160128,14
20160129,7
20160130,7
20160131,8
20160201,6
20160202,12
20160203,10
20160204,17
20160205,8
20160206,9
20160207,16
20160208,11
20160209,24
20160210,37
20160211,239
20160212,251
20160213,104
20160214,84
20160215,82
20160216,76
20160217,70
20160218,47
20160219,53
20160220,48
20160221,26
20160222,24
20160223,12
20160224,23
20160225,25
20160226,22
20160227,17
20160228,19
20160229,17
20160301,19
20160302,10
20160303,17
20160304,13
20160305,6
20160306,10
20160307,13
20160308,12
20160309,18
20160310,11
20160311,9
20160312,13
