Date,Views
20160323,654
20160324,517
20160325,446
20160326,325
20160327,414
20160328,481
20160329,640
20160330,595
20160331,550
20160401,452
20160402,455
20160403,418
20160404,556
20160405,688
20160406,546
20160407,618
20160408,617
20160409,450
20160410,483
20160411,770
20160412,877
20160413,828
20160414,848
20160415,980
20160416,689
20160417,679
20160418,778
20160419,997
20160420,845
20160421,893
20160422,770
20160423,686
20160424,978
20160425,1027
20160426,1125
20160427,869
20160428,897
20160429,671
20160430,642
20160501,846
20160502,1017
20160503,810
20160504,812
20160505,730
20160506,704
20160507,464
20160508,573
20160509,652
20160510,736
20160511,746
20160512,722
20160513,690
20160514,437
20160515,614
20160516,737
20160517,910
20160518,824
20160519,854
20160520,995
20160521,626
20160522,620
