Date,Views
20171117,831
20171118,740
20171119,620
20171120,853
20171121,1025
20171122,1014
20171123,1691
20171124,1045
20171125,757
20171126,846
20171127,851
20171128,1246
20171129,1144
20171130,1163
20171201,886
20171202,826
20171203,737
20171204,966
20171205,1241
20171206,989
20171207,991
20171208,857
20171209,636
20171210,775
20171211,885
20171212,998
20171213,1073
20171214,1143
20171215,1056
20171216,813
20171217,726
20171218,1010
20171219,987
20171220,970
20171221,1022
20171222,876
20171223,696
20171224,599
20171225,616
20171226,817
20171227,824
20171228,951
20171229,804
20171230,708
20171231,576
20180101,686
20180102,908
20180103,894
20180104,950
20180105,912
20180106,781
20180107,723
20180108,980
20180109,940
20180110,1264
20180111,1137
20180112,969
20180113,736
20180114,707
20180115,847
20180116,983
