Date,Views
20190311,146
20190312,452
20190313,455
20190314,90
20190315,108
20190316,84
20190317,132
20190318,123
20190319,143
20190320,107
20190321,106
20190322,92
20190323,91
20190324,79
20190325,74
20190326,100
20190327,91
20190328,95
20190329,85
20190330,82
20190331,69
20190401,99
20190402,100
20190403,157
20190404,128
20190405,128
20190406,190
20190407,113
20190408,120
20190409,105
20190410,643
20190411,241
20190412,125
20190413,178
20190414,161
20190415,124
20190416,147
20190417,89
20190418,111
20190419,111
20190420,89
20190421,96
20190422,112
20190423,119
20190424,151
20190425,143
20190426,118
20190427,114
20190428,102
20190429,115
20190430,134
20190501,93
20190502,93
20190503,86
20190504,79
20190505,97
20190506,137
20190507,123
20190508,108
20190509,124
20190510,165
