Date,Views
20190311,33
20190312,38
20190313,35
20190314,32
20190315,128
20190316,67
20190317,42
20190318,75
20190319,33
20190320,66
20190321,35
20190322,49
20190323,44
20190324,30
20190325,42
20190326,27
20190327,31
20190328,30
20190329,24
20190330,33
20190331,40
20190401,41
20190402,40
20190403,41
20190404,38
20190405,52
20190406,58
20190407,53
20190408,62
20190409,75
20190410,870
20190411,351
20190412,219
20190413,118
20190414,135
20190415,104
20190416,79
20190417,91
20190418,75
20190419,79
20190420,53
20190421,65
20190422,57
20190423,68
20190424,61
20190425,63
20190426,66
20190427,59
20190428,63
20190429,38
20190430,57
20190501,55
20190502,55
20190503,77
20190504,79
20190505,57
20190506,46
20190507,37
20190508,50
20190509,39
20190510,38
