Date,Views
20201125,5532
20201126,5671
20201127,6451
20201128,5911
20201129,5213
20201130,6054
20201201,5433
20201202,5336
20201203,5370
20201204,5360
20201205,4842
20201206,5004
20201207,5003
20201208,6030
20201209,5166
20201210,5434
20201211,5198
20201212,4912
20201213,4979
20201214,5191
20201215,5238
20201216,5078
20201217,5045
20201218,4752
20201219,4438
20201220,4465
20201221,4610
20201222,4488
20201223,4481
20201224,4174
20201225,4295
20201226,4771
20201227,4801
20201228,4870
20201229,5082
20201230,4770
20201231,4112
20210101,4258
20210102,4567
20210103,4636
20210104,4976
20210105,5199
20210106,5285
20210107,4332
20210108,4499
20210109,4144
20210110,4284
20210111,4679
20210112,3964
20210113,4210
20210114,4123
20210115,3704
20210116,3417
20210117,4721
20210118,3585
20210119,3428
20210120,3491
20210121,3648
20210122,3914
20210123,3510
20210124,4022
