Date,Views
20160112,663
20160113,617
20160114,538
20160115,453
20160116,380
20160117,413
20160118,537
20160119,690
20160120,689
20160121,666
20160122,460
20160123,380
20160124,432
20160125,635
20160126,635
20160127,691
20160128,605
20160129,562
20160130,368
20160131,476
20160201,738
20160202,695
20160203,630
20160204,630
20160205,499
20160206,362
20160207,408
20160208,538
20160209,525
20160210,598
20160211,669
20160212,679
20160213,439
20160214,445
20160215,606
20160216,617
20160217,681
20160218,585
20160219,494
20160220,359
20160221,447
20160222,633
20160223,596
20160224,564
20160225,572
20160226,463
20160227,377
20160228,413
20160229,563
20160301,575
20160302,583
20160303,577
20160304,460
20160305,362
20160306,428
20160307,563
20160308,555
20160309,568
20160310,543
20160311,451
20160312,392
