Date,Views
20160112,13675
20160113,13327
20160114,14626
20160115,13393
20160116,15496
20160117,20329
20160118,17713
20160119,17198
20160120,20160
20160121,20069
20160122,22527
20160123,36736
20160124,44576
20160125,28440
20160126,21042
20160127,18204
20160128,17368
20160129,17231
20160130,25217
20160131,31512
20160201,22293
20160202,16658
20160203,14968
20160204,14281
20160205,14686
20160206,19892
20160207,22824
20160208,15416
20160209,15009
20160210,13375
20160211,13034
20160212,12424
20160213,16869
20160214,21119
20160215,18063
20160216,14715
20160217,17166
20160218,16110
20160219,16262
20160220,21358
20160221,26545
20160222,20079
20160223,15337
20160224,15090
20160225,14137
20160226,13599
20160227,18161
20160228,21237
20160229,15812
20160301,13442
20160302,12179
20160303,12543
20160304,11860
20160305,15563
20160306,18617
20160307,15860
20160308,12369
20160309,11664
20160310,11503
20160311,13275
20160312,14127
