Date,Views
20160112,89
20160113,81
20160114,99
20160115,65
20160116,68
20160117,51
20160118,77
20160119,88
20160120,99
20160121,71
20160122,64
20160123,63
20160124,67
20160125,70
20160126,70
20160127,91
20160128,100
20160129,77
20160130,46
20160131,50
20160201,71
20160202,105
20160203,73
20160204,57
20160205,75
20160206,57
20160207,61
20160208,51
20160209,80
20160210,91
20160211,178
20160212,199
20160213,222
20160214,170
20160215,134
20160216,125
20160217,105
20160218,98
20160219,77
20160220,81
20160221,76
20160222,82
20160223,99
20160224,70
20160225,88
20160226,85
20160227,61
20160228,94
20160229,89
20160301,82
20160302,71
20160303,71
20160304,69
20160305,78
20160306,61
20160307,70
20160308,67
20160309,81
20160310,76
20160311,93
20160312,45
