Date,Views
20160112,2547
20160113,2433
20160114,2599
20160115,2173
20160116,1593
20160117,1929
20160118,2470
20160119,2776
20160120,2713
20160121,2783
20160122,2470
20160123,1902
20160124,2201
20160125,2784
20160126,2879
20160127,2932
20160128,2897
20160129,2484
20160130,2236
20160131,2288
20160201,3008
20160202,2884
20160203,3057
20160204,2803
20160205,2486
20160206,1883
20160207,2131
20160208,2731
20160209,2776
20160210,2821
20160211,3334
20160212,3175
20160213,2402
20160214,2266
20160215,2782
20160216,2891
20160217,3174
20160218,2892
20160219,2460
20160220,2008
20160221,2401
20160222,2791
20160223,2942
20160224,2906
20160225,2561
20160226,2459
20160227,1659
20160228,2072
20160229,2677
20160301,2849
20160302,2724
20160303,2786
20160304,2369
20160305,1698
20160306,2146
20160307,2596
20160308,2674
20160309,2561
20160310,2462
20160311,2213
20160312,1570
