Date,Views
20211125,9
20211126,8
20211127,10
20211128,13
20211129,13
20211130,6
20211201,7
20211202,11
20211203,9
20211204,4
20211205,21
20211206,11
20211207,9
20211208,10
20211209,12
20211210,10
20211211,9
20211212,5
20211213,14
20211214,13
20211215,14
20211216,15
20211217,7
20211218,7
20211219,8
20211220,15
20211221,8
20211222,12
20211223,9
20211224,7
20211225,12
20211226,13
20211227,14
20211228,19
20211229,19
20211230,20
20211231,16
20220101,11
20220102,13
20220103,11
20220104,15
20220105,15
20220106,11
20220107,10
20220108,11
20220109,5
20220110,12
20220111,10
20220112,14
20220113,10
20220114,19
20220115,6
20220116,9
20220117,13
20220118,13
20220119,8
20220120,5
20220121,22
20220122,16
20220123,17
20220124,10
