Date,Views
20211125,3719
20211126,3339
20211127,3249
20211128,3545
20211129,3693
20211130,4430
20211201,3362
20211202,3356
20211203,3397
20211204,3477
20211205,3719
20211206,3656
20211207,3381
20211208,3514
20211209,3549
20211210,3058
20211211,3070
20211212,3308
20211213,3372
20211214,3560
20211215,3537
20211216,3385
20211217,3070
20211218,3046
20211219,3149
20211220,3445
20211221,3072
20211222,2767
20211223,2968
20211224,3145
20211225,2781
20211226,3241
20211227,3761
20211228,3428
20211229,3470
20211230,3178
20211231,2882
20220101,3370
20220102,3593
20220103,3519
20220104,3287
20220105,3304
20220106,3357
20220107,3476
20220108,3323
20220109,3650
20220110,3750
20220111,3546
20220112,3592
20220113,3603
20220114,3220
20220115,3170
20220116,3300
20220117,3919
20220118,3600
20220119,3363
20220120,3552
20220121,3206
20220122,3214
20220123,3448
20220124,3714
