Date,Views
20211125,9
20211126,5
20211127,3
20211128,11
20211129,9
20211130,7
20211201,16
20211202,14
20211203,14
20211204,5
20211205,20
20211206,19
20211207,7
20211208,21
20211209,44
20211210,33
20211211,36
20211212,64
20211213,258
20211214,128
20211215,46
20211216,13
20211217,17
20211218,15
20211219,13
20211220,25
20211221,25
20211222,26
20211223,18
20211224,19
20211225,25
20211226,17
20211227,20
20211228,20
20211229,11
20211230,12
20211231,15
20220101,8
20220102,8
20220103,3
20220104,7
20220105,6
20220106,3
20220107,3
20220108,4
20220109,15
20220110,7
20220111,4
20220112,11
20220113,5
20220114,9
20220115,2
20220116,2
20220117,3
20220118,5
20220119,5
20220120,5
20220121,10
20220122,3
20220123,3
20220124,4
