Date,Views
20211125,984
20211126,1015
20211127,864
20211128,842
20211129,1001
20211130,888
20211201,960
20211202,857
20211203,780
20211204,792
20211205,962
20211206,1377
20211207,1209
20211208,859
20211209,795
20211210,1186
20211211,714
20211212,723
20211213,933
20211214,916
20211215,995
20211216,959
20211217,935
20211218,1074
20211219,1004
20211220,1030
20211221,977
20211222,1101
20211223,1142
20211224,1696
20211225,8844
20211226,3836
20211227,2211
20211228,1843
20211229,1637
20211230,1497
20211231,1152
20220101,1403
20220102,1290
20220103,1119
20220104,1275
20220105,1334
20220106,1172
20220107,1271
20220108,1418
20220109,1374
20220110,1352
20220111,1271
20220112,1077
20220113,1202
20220114,955
20220115,1002
20220116,925
20220117,987
20220118,1032
20220119,934
20220120,902
20220121,912
20220122,850
20220123,892
20220124,979
