Date,Views
20211125,3
20211126,5
20211127,9
20211128,5
20211129,12
20211130,6
20211201,7
20211202,6
20211203,2
20211204,3
20211205,8
20211206,11
20211207,2
20211208,3
20211209,7
20211210,4
20211211,5
20211212,5
20211213,5
20211214,5
20211215,1
20211216,8
20211217,3
20211218,6
20211219,11
20211220,4
20211221,11
20211222,4
20211223,6
20211224,8
20211225,13
20211226,21
20211227,9
20211228,7
20211229,14
20211230,15
20211231,10
20220101,10
20220102,11
20220103,3
20220104,5
20220105,5
20220106,8
20220107,11
20220108,2
20220109,9
20220110,13
20220111,5
20220112,10
20220113,11
20220114,6
20220115,11
20220116,7
20220117,10
20220118,5
20220119,8
20220120,8
20220121,6
20220122,12
20220123,7
20220124,2
