Date,Views
20211125,50
20211126,42
20211127,68
20211128,74
20211129,61
20211130,129
20211201,138
20211202,77
20211203,61
20211204,90
20211205,71
20211206,68
20211207,64
20211208,81
20211209,65
20211210,160
20211211,103
20211212,73
20211213,77
20211214,100
20211215,86
20211216,73
20211217,66
20211218,75
20211219,81
20211220,105
20211221,111
20211222,121
20211223,145
20211224,217
20211225,912
20211226,469
20211227,222
20211228,194
20211229,198
20211230,166
20211231,112
20220101,109
20220102,74
20220103,103
20220104,109
20220105,123
20220106,114
20220107,110
20220108,92
20220109,140
20220110,137
20220111,149
20220112,81
20220113,78
20220114,91
20220115,96
20220116,82
20220117,66
20220118,113
20220119,103
20220120,72
20220121,87
20220122,83
20220123,80
20220124,68
