Date,Views
20211125,421
20211126,380
20211127,347
20211128,372
20211129,344
20211130,317
20211201,349
20211202,388
20211203,421
20211204,384
20211205,360
20211206,340
20211207,478
20211208,395
20211209,316
20211210,551
20211211,343
20211212,361
20211213,397
20211214,344
20211215,377
20211216,350
20211217,331
20211218,317
20211219,352
20211220,410
20211221,285
20211222,357
20211223,320
20211224,297
20211225,472
20211226,546
20211227,496
20211228,459
20211229,747
20211230,479
20211231,335
20220101,383
20220102,429
20220103,405
20220104,412
20220105,375
20220106,364
20220107,434
20220108,391
20220109,412
20220110,387
20220111,413
20220112,427
20220113,412
20220114,418
20220115,378
20220116,395
20220117,345
20220118,401
20220119,335
20220120,326
20220121,343
20220122,384
20220123,355
20220124,327
