Date,Views
20211125,86
20211126,89
20211127,64
20211128,49
20211129,83
20211130,83
20211201,104
20211202,48
20211203,39
20211204,33
20211205,40
20211206,44
20211207,51
20211208,43
20211209,68
20211210,107
20211211,57
20211212,54
20211213,48
20211214,54
20211215,52
20211216,39
20211217,42
20211218,48
20211219,41
20211220,33
20211221,39
20211222,50
20211223,45
20211224,36
20211225,55
20211226,54
20211227,41
20211228,73
20211229,97
20211230,43
20211231,39
20220101,55
20220102,51
20220103,52
20220104,71
20220105,50
20220106,58
20220107,65
20220108,43
20220109,54
20220110,51
20220111,48
20220112,56
20220113,50
20220114,62
20220115,25
20220116,39
20220117,37
20220118,42
20220119,37
20220120,65
20220121,46
20220122,49
20220123,36
20220124,49
