Date,Views
20211125,16
20211126,12
20211127,15
20211128,7
20211129,11
20211130,7
20211201,16
20211202,16
20211203,5
20211204,11
20211205,15
20211206,6
20211207,9
20211208,5
20211209,8
20211210,6
20211211,6
20211212,10
20211213,18
20211214,10
20211215,13
20211216,13
20211217,8
20211218,12
20211219,6
20211220,3
20211221,7
20211222,10
20211223,8
20211224,2
20211225,7
20211226,13
20211227,11
20211228,13
20211229,23
20211230,14
20211231,10
20220101,6
20220102,6
20220103,8
20220104,7
20220105,12
20220106,20
20220107,11
20220108,8
20220109,11
20220110,12
20220111,9
20220112,10
20220113,6
20220114,7
20220115,7
20220116,13
20220117,13
20220118,12
20220119,6
20220120,9
20220121,10
20220122,7
20220123,9
20220124,7
