Date,Views
20211125,1180
20211126,1283
20211127,1215
20211128,1035
20211129,1225
20211130,1290
20211201,1327
20211202,1335
20211203,1307
20211204,1177
20211205,1292
20211206,1311
20211207,1440
20211208,1344
20211209,1334
20211210,1141
20211211,1105
20211212,1118
20211213,1161
20211214,1215
20211215,1304
20211216,1172
20211217,1005
20211218,946
20211219,1017
20211220,1205
20211221,1158
20211222,1468
20211223,1361
20211224,1006
20211225,1608
20211226,1354
20211227,1389
20211228,1258
20211229,1227
20211230,1238
20211231,1121
20220101,1218
20220102,1204
20220103,1135
20220104,1318
20220105,1305
20220106,1153
20220107,1316
20220108,1126
20220109,1352
20220110,1230
20220111,1427
20220112,1455
20220113,1282
20220114,1290
20220115,1374
20220116,1346
20220117,1257
20220118,1245
20220119,1178
20220120,1170
20220121,1281
20220122,1304
20220123,1166
20220124,1074
