Date,Views
20160323,262
20160324,239
20160325,205
20160326,180
20160327,186
20160328,296
20160329,344
20160330,361
20160331,351
20160401,306
20160402,473
20160403,607
20160404,638
20160405,798
20160406,802
20160407,563
20160408,350
20160409,291
20160410,289
20160411,381
20160412,395
20160413,323
20160414,483
20160415,358
20160416,255
20160417,304
20160418,366
20160419,409
20160420,413
20160421,424
20160422,295
20160423,248
20160424,354
20160425,382
20160426,385
20160427,380
20160428,328
20160429,286
20160430,235
20160501,256
20160502,407
20160503,341
20160504,425
20160505,386
20160506,369
20160507,269
20160508,333
20160509,408
20160510,419
20160511,548
20160512,493
20160513,385
20160514,251
20160515,304
20160516,305
20160517,345
20160518,382
20160519,315
20160520,269
20160521,222
20160522,271
