Date,Views
20160323,2766
20160324,2574
20160325,1858
20160326,1538
20160327,1683
20160328,2537
20160329,3133
20160330,3277
20160331,2853
20160401,2552
20160402,2270
20160403,2529
20160404,4659
20160405,5138
20160406,3196
20160407,3303
20160408,2424
20160409,1821
20160410,2252
20160411,3398
20160412,3537
20160413,3469
20160414,3259
20160415,2639
20160416,1964
20160417,2221
20160418,3275
20160419,3503
20160420,3903
20160421,3605
20160422,2666
20160423,2001
20160424,2381
20160425,3872
20160426,3871
20160427,3782
20160428,3777
20160429,2968
20160430,1889
20160501,2406
20160502,3612
20160503,3806
20160504,3728
20160505,3514
20160506,2747
20160507,1809
20160508,2481
20160509,3793
20160510,3817
20160511,3643
20160512,3324
20160513,2545
20160514,1772
20160515,2792
20160516,3318
20160517,3399
20160518,3406
20160519,3132
20160520,2485
20160521,1715
20160522,2118
