Date,Views
20170722,1102
20170723,919
20170724,1385
20170725,1422
20170726,1305
20170727,1341
20170728,1096
20170729,855
20170730,1050
20170731,1429
20170801,1343
20170802,1425
20170803,1342
20170804,1057
20170805,1157
20170806,959
20170807,1283
20170808,1379
20170809,1352
20170810,1355
20170811,1201
20170812,1063
20170813,1033
20170814,1441
20170815,1499
20170816,1548
20170817,1591
20170818,1472
20170819,1080
20170820,1315
20170821,2859
20170822,1894
20170823,1628
20170824,1560
20170825,1243
20170826,966
20170827,971
20170828,1429
20170829,1478
20170830,1545
20170831,1338
20170901,1219
20170902,992
20170903,1218
20170904,1390
20170905,1560
20170906,1624
20170907,1609
20170908,1427
20170909,1018
20170910,1177
20170911,1558
20170912,1613
20170913,1631
20170914,1590
20170915,1375
20170916,978
20170917,1266
20170918,1790
20170919,1712
20170920,1744
